text,label
ok king,0
Pokonya ngak sama lah 😆🔥,0
keren bgt ketua kita gesss😭,0
"kakak nya artis, dia nya pengacara",0
"yang satu pengacara, yang satu artis",0
cipung baju zumba cu bgt🤏🏼,0
Kenapa dia kalo di luar negeri suka pake baju zumba😭,0
bener bener mirip olga,0
cipung ketemu yuki kato,0
cipung era baju zumba is back😂,0
Rayanza knp pake manset? Mau karnaval kh😭,0
spesialis baju zumba😭,0
"please itu bukan baju zumba tapi emang daleman yang sering dipake kalau lagi musim dingin atau pergi ke negara yg musim dingin, biar anget 😭",0
Baju zumba andalan lucu banget😭,0
dia belum 3th tp udah bisa diajak ngobrol woyyy🥰🥰🥰🥰,0
aja dgn baju zumba nya wkwk,0
aa rapatar gak ikut ya? 😂😂,0
"yeeeee cipunk,baru aja sekolah uda liburan....!!! 😂😂",0
"pung jangan dlu gede ya, kelak gw punya anak sekitar thn 2029/2030 anak gw harus tau elu, biar nyonto elu😭",0
arghhj mukanya cipung tuhh masyaAllah bagtt💯,0
cipung lucu persis kayak kak alm Olga Syahputra,0
kamu bening banget ajjaaaa,0
cipung aslinya umur 25 th,0
cipung pakai manset 😭😂🙏,0
Mirip Muka rafatar umur 5 thun ya..lucu bnget,0
DEMEN BGT AJJA KLO NGEROASTING OM MUPLI 😭,0
Saipul dgn baju zumba ny,0
"enak ya cipung ,gk bakalan pusing mikir angsuran selama hidup nya",0
Seperti biasa cipung pake baju zumba ☺️🤏😍,0
Knp bentukan cipung lucu bgt ya allah😭,0
cipung bening bet,0
baju cipung kek punya aku,0
yaAllah lucu bgt bentukan dia tuh😭,0
tercipung cipung 😍🤣🤣,0
cipung kok gemoy si,0
cipung udah bsr ya tinggi lg udah pintar ngomongnya,0
masa Allah cipung,0
Semalam gue mimpi bikin nangis cipung😭😭😭,0
cipung maskotx tik tok kcil...gya ap aj cipung ttep gmesin.lom polanx..lucu bgt q ykin smua psti blg yes...,0
pinter bangettt cipung🥰🥰,0
berdoa sambil tidur katanya lucu banget ajja,0
baju cipung cakep bnget,0
ini fix sih bukn bayi tpi org dewasa😍,0
cipung making gede Makin ganteng.masya allah 🥰🥰🥰,0
lucu banget sih cipung gwemmmeeeezzzz,0
lucu bgttt heh😭,0
Cerah bgt jjaaa🤩,0
ganteng sekali cipung,0
"Bener bener anak ajaib nih,👍,sehat terus y cipung ❤❤🥰🥰",0
lucu bgt cipung,0
Sehat trus cipung🥰🥰🥰🥰,0
cipung anak pintar,0
si cipung gantengnya daripada temennya,0
Cipung lucu 🥰,0
cipung imutnya🤗,0
ya Alloh cipung pinter banget yaa 🥰🥰🥰,0
knpa ya gw sesayang ini sama ipung,0
Masya Allah cipung❤️❤️,0
cipung pake manset😭,0
kelucuan nya mirip olga 🥰🥰🥰,0
masha Allah ganteng nya cipung,0
MasyaAllah ganteng lucu bgt ipung🥰,0
manis nya cipung 🥰,0
lucu bgttt coach zumbaku😫,0
ganteng.pinter.soleh banget .cipung ..,0
🥰🥰🥰cipung ganteng,0
cipung manis anjay,0
cipung ngegemessiinn,0
aubhanallah cipung tambah lucu bgt bisa ngomong sdh🤗,0
🥰memang tercipung cipung,0
Ipung kok bisa tiap hari lucu,0
cipung pinterrrr bngt,0
cipung lucu deh.,0
cipung anak sholeh,0
Matanya pung 🤣🤣🤣🤣,0
Ajaaa bentukanmu lutcuuuu sekali nak 😭 masyaAllah ❤️❤️🥰🥰🥰,0
ajaa si embuul 😊😊😊😃,0
"gemoy banget sih km cipung,gmess dech..",0
Cipung gemoy bangeeeet kamuusiii ahhhhhh,0
lucu banget sih cipung doanya sambil ketawa hahaha...,0
cipung kamu ganteng bngt,0
jir lucu banget Ipung woyyy,0
"Dd ipung nuju naon tos emam acan lucu amat sehat""yh ipung👍",0
cuu bgtt cii😭,0
Aaaa ajaaa masya allah lucu skli😭😭😭❤️❤️,0
sehat selalu anak baik aj🥰,0
loh tidur uang ngalir sendiri pung😭😭,0
LUCU BGT BAJU ZUMBANYA🥺,0
makin gede aja km nak😂,0
ajaaaa lucu banget😭🥰,0
"Ganteng banget, besarnya nnt kayak Varel.",0
Cipung ganteng🥰🥰🥰,0
ganteng anak nya,0
Lucu bgt bajunya 😭,0
pinter bgt ipung,0
ya alloh pinter banget,0
kenapa si cupung harus pinter banget 😍😍,0
lucu banget,0
kenapa mirip bili syaputra si,0
Biasa aja,1
ya Allah kok tambah ganteng eee😍😍😍😍,0
ganteng,0
cipung lucuu bgt😘😘😘,0
"bocil yg pernah ada di mmpi gue,skrng udh besar",0
sehat selalu cipung lucu dan cerdas,0
MasyaAllah Cipung😍🤏,0
cipung keren pinter cerdas kaya bapanya semoga menjadi anak yang Sholeh 🤲,0
Masya Allah cipung lucu banget 🥰,0
lucu bgt cipung.ganteng bgt lgi😂😂,0
cipung pake manset,0
Bening banget kulit nya cipung,0
cipung tambah gemoy😀😘,0
aduh imuttt bangetttt rayyanza😍,0
mirip rafathar,0
yaallah bener2 mirip rayyanza 😳,0
rayanza pernah tantrum ga sih? 😁 kayanya happy terus 🥰,0
knp pd blg baju zumba ya,0
rayaza pakek baju zumba😳😅,0
"Pung sering sering ke luar negeri ya, biar liat kamu pake baju zumba trus",0
baju zumba terbaru😋🫰🏻,0
ajaa kamu lucuu bgt pake baju zumba gtuuu😭,0
Aja dan baju zumba mesti lucuu banget sih😭,0
"Masya Allah rayanza kelihatan banget ank sultan,🥰",0
cipuuuung❤️❤️❤️❤️,0
lucu de...,0
ucul bgt ifung 😚,0
rayansa anak bos rafi Ahmad yg selalu tetkesan❤️❤️❤️❤️,0
Cipunggg 😍😍😍,0
tangannya sdh betul cara berdoanya,0
kamu lucuu amatt cii 🥰,0
CIPUNGGG😭😭,0
mirip alm.olga,0
ajja mirip Olga,0
cuping mirip banget pas Avatar masih kecil,0
reinkarnasi olga,0
Persis skilas olga banget,0
guuumuuusss nya 🥰😍🤗,0
pung lucuuu amay😭😭😭😭😭😭,0
baju ballet inima😭,0
"Azza inget kmu tu msh baby bkn orang gede,🥰🥰🥰",0
lucu😁,0
lucu banget lu pung🥰,0
ipung gemoooy 🫶🏻,0
"Aza gk ush berdoa keinginnnya udh dikabulin, lah gue siang mlm doa blm tnt dikabulin",0
Aza ganteng ank soleh,0
dekkk kmuvtuh gnteng juga cntik wajah🥰🥰🥰lucubpisannn,0
ipung udah gede aja😭,0
cuuu bangettttttt🥹,0
Emang boleh se cakep ini,0
mirip papa rafii😁selera humor nya kyk papa nya,0
cuuu banget cipungggggg😭😭😭,0
cuu bangetttt😭,0
PUNG LU LUcu BGt Sumpaah!!! 😡,0
bayiii 😭💜,0
ya Allah...pinter bingittt...ganteng lucuuuu...🥰🥰,0
ya Allah peyuuuuuutttt😭😭,0
emessshnya si cipuuuung..🥰,0
aza bajunya 🥰,0
mirip pak Muh jir🤣🤣🤣,1
anak Sholeh...,0
cipunggg arghhh lucukknyaaaa😻💗💗😻,0
gemoyyy 😭,0
GANTENG BGT AZZA💓💓💓💓💓💓,0
"y Allah gantenge,pintere🥰🥰 ,🥰",0
yaampon bayikkkk,0
Badannya cuu bnget😭,0
ini outfit zumba atau pilates?,0
kog mirip khalisa anaknya kartika putri yaaa..,0
Si ganteng ❤️❤️❤️❤️🥰🥰🥰,0
gantengnya,0
makin lama makin mirip om merry😭,0
ya Allah nakk imut banget comel,0
woii lucu bgt baju nya😭🤏,0
ya alloh lucu bgtt😭😭😭😭😭,0
lucuuk baju mansetnya jd gemooy,0
lucuuu,0
Ga kalah gemoy ini sama mayor teddy🤣🩵😍😍😍,0
Cipuuung...😍😍😍,0
Bayangin gedenya kaya apa ini bocil 😭😭😭😭😭,0
gantengnya,0
rayansa sangaatttt pinteerrrrr,0
ajjaaaa cutee bgt ampunnn😭🥰🥰🤏🤏,0
lucu bgtt bayii😭,0
masya allah....lucuuuunyaaaaa🥰🥰🥰,0
Heeee cu bgt pake baju zumbaaa😭🤏🏻,0
gemoy nya... lekas besar anak pinter🥰,0
berdoa tapi tidur 😳😭,0
cantik bgtt,0
Azzaaa... Cute banget sihhhh 😍😍,0
yaallah lutunaaaa😭,0
si kasep berdoa,0
ganteng banget nih bocil🥰🥰🥰,0
Cipuungg🥰🥰😇,0
ihh kasep aza,0
Berdoa tapi tidur 😂,0
bayiik😍,0
eh lucu bgt🥺🥺🥺,0
masi kecil ganteng😳 gmn besarnya😳anak sultan pasti tambah ganteng km nak🥰🥰,0
WKWKW AJAA🤏🏼😩,0
dia kenapa si suka bgt pake baju zumbaaa😭😭😭,0
ya Allah lucu bget🥰,0
Kenaapaa lucu bgtt,0
ya Allah bentukannya lucu bgtttttttt,0
"Masyak Allah,,,ipung anak shole, pintar, cerdas popok nya segalah galanya deeh, calon presiden tahun sekian sekian,,,,,, 👍👍👍👍",0
ganteng nian dek,0
Vibes orang kaya,0
pinter ngomongnya,0
ajaa uda gede kamu yaaa😔🖤🖤,0
cipung lucu banget sih,0
cipung lucu bgt,0
cipung ganteng banget,0
cipung ngemesi bnget terlalu ganteng😍,0
pada gagal fokus sama baju cipung😂,0
cipung lucu banget bang🥰🥰🥰♥️♥️♥️,0
dia tau Upin Ipin GK sih,0
ih c ganteng makin hari makin pinter ajaa,0
gw gigi juga nih anak 🥰,0
dan ganteng,0
masyasllooh pinternya,0
gnteng bgttt cipunggg pinterrrr🥰❤️🥰,0
kok ni bocah jadi lawak bgtsiii wkwk,0
si ganteng,0
pintar😍😍,0
lucu bjuya,0
ganteng bgt anaya,0
lucu deh masaallah,0
ya allah anak soleh 😆,0
back to rayanza zumba era,0
gantenge 👍👍👍,0
Oyy cute nya oy🥺,0
nak sultan😅,0
masa depanmu sudah kelihatan cerah nak ...😅,0
apaann sii pungg cuuuu amayy😣😣,0
berdoa tp tidur ceunah,0
dia msh bayikkkk tp da kayak AbG,0
make manset 🥺,0
gemoyyyyy,0
Pas bilang “gimanah” berasa pengen ngajak sleep call pung😭,0
aja kenapa sih selalu pny jawaban klo d tanya tuh🤣,0
aaaa masyaAllah lucu bgtttt❤️,0
adek g minat buat grup zumba? wkwkwkkw cuu bgtttt,0
Gemoy bgt siii ajaaa😍😍,0
cuuu bgt pliss😭,0
"w kira temen w doang yg namanya muplih, ternyata ada juga 😂",0
pinternya,0
Rafanza lucu dan pinter yah ❤,0
ajjaaa kenapaa u lucuu pake bangettt💗,0
kek anak orang kaya ga sih😌,0
"apasi aja,ko lucuuu banget😭",0
comel nya budak nie,0
comel,0
masyaallah hahaha hahaha,0
😂😂😂ngantuk sangat,0
gemesssss 😍😍😍😍😍,0
idiiiihhhhh lucu bgt ya Cipung gemmmeeesssss ❤❤❤🥰🥰🥰,0
bibitnya ngita emng pinter gnteng dah coba satu LG cewek😅,0
ko gayanya kyaSaepul jamil,1
pande Kali lah kau dek,0
bru 2th udah bsa d ajak ngobrol.. masya Allah...,0
"👶: berdoa tapi tidur .... bisa Lo nyambung gitu,🥰🥰🥰🥰 biasanya anak kalo di tanya gitu jawab nya cuma (doa/tidur) doang",0
ganteng banget ranyansa,0
@SCORPIO🦋 @dt🐬 bentukan cipung gatau gk lucuuu😭😭,0
@lilies_nazar dia kalo di luar negeri mode baju zumba 😭😍,0
Sumpah cipung mode luar negrii ga ada obatt lucunyaaaaaaaa @Hellotaroo,0
@Venzyy. lucuu bngtt yaaa kaaa🤏,0
mau dangdutan ipungg @C U T I E ;) 😂,0
@Harry Putra Far Far gamash,0
bundd anak jann lucu @dlvdant,0
cubet ipuuunggg,0
gemoyyy bettt @yayayiisss,0
ajaaaa iihh udah gedeee,0
CUU BANGETTTSHSHHDHDJD,0
gakuaaaat tolonggggg😭😭😭,0
apasiii ajaa cu amattt🥺,0
aza lucu bangat sekarang ya,0
AWKAKWKWWKK BAJU ZUMBAAAA,0
Mukanya tolong 😩😩😩😩,0
doa apa cipung...... malaikat nya gedhek gedhek semua sudah dikasih😁😁😁,0
GEMOY,0
cipung ky cwe 🥰🥰🥰,0
lebih baik nonton cipung dri pda nonton MK😌😭,0
gemoy,0
Saya melihat warna Uang Merah dipipi Cipung,0
ingin meraskan gimana rasanya menggendong cipung😭,0
cipung ....doain aku dong biar dpt rejeki...biar bisa pulang kampung,0
Cipung pake mangset,0
RAYANZA REINKARNASI OLGA,0
Lu mirip olga pung,0
"itu namanya longjohn ya gess yaa,emang untuk musim dingin🥺",0
sekecil ini aja duit dah puluhan M🤣😂 tanpa bapak ibunya.,0
ajaa,0
pung knp cpt gede😋,0
anjir dia pake manset😭🙏,0
Siapa yg suruh make mansettt😭😭😭,0
Jadi mau punya 😭,0
aja itu pake mangset ya 😂,0
pinter,0
@Indryani13 lucu gemessss,0
@☆ woiii gemesssss kaliii,0
@srchasyifa gemesh🥰,0
aja kok tbtb udh gede ya😭,0
"cepung lucu bgt pk baju longjong ,, biar anget ya . kan dingin ya di korea",0
Kadang kek bayi kadang kek orang gede😭,0
Gemoy bngt😭,0
cipung mirip sama mamanya rafatar,0
Ya allah dekkk,0
masyaAllah gemes amat ih kaya anak gede😭😭😭,0
aduh pinter nya anak bunda gigi ini🥰🥰,0
ini bayiiii lucunya kebangetan😂😂,0
ganteng2 anak nya kk nagita am aa rafi,0
@🧚‍♀️🐹🌷🦋 cipung make mangsett😭😭,0
@Arzahdaa rayanja lucu bgttt masyaallah 😂😂😂,0
"ini bayii knp siiiiiii, cuuuaneeettt 😚🤏",0
"gakuatttt,cu amayyyy😩",0
lucuuu bgttt masyaAllah😭🤏🏻,0
izin post ulang kak🙏,0
Lucuu bgtt bentukan ajaa🥹🤏 badannya gemoyy,0
😭😭😭😭@amaa🐄,0
Lucu bgtt sih,0
bayiii satu ini kenapa cu bangetttt😭,0
@pineapple🍍 nganggo manset eneh😭,0
bayi udh bisa ngeroasting 🤣🤣,0
aduh adekkkk 🥺😍💙,0
ketemu cipung di pesawat 😭,0
lucu bgt sie😂🥰🤣,0
@d kaya udah gede kelakuannya😭,0
Demi Allah ini bocil lucu banget 🤣,0
Dia baru 2 tahun tapi udah nyambung banget kalo diajak ngobrol 😭,0
perut kamu punggg😭,0
Kenapa vibes dia malah kayak yang jadi aang 😫,0
ku kira cipung pakek manset😭,0
cepet bgt gede sih deee😩,0
@Imoet gemoy bangat,0
lelaki soleh ku,0
cuwbetttt,0
zumba coach aku🤝💗,0
🗿apakah kalian sudah screenshot cipung buat stiker,0
cipung kaya apa ya harum nya,0
ada² aja kelakuannya😭,0
pintar sekali udah gedhe udah bisa ngelawak niruiin orang juga sehat2 ya rayyanza gemes banget🥰🥰🥰🥰,0
@sal lucu banget,0
AAA LUCU BGTT PLIS,0
"penasaran,ajja pernah di gigit nyamuk ga sih😁",0
gemes bgt baju ajaaa🤏🏻,0
maksudnya mungkin berdoa tp sambil merem...😆,0
@trydara woyy aaa😩,0
Spill bajunya pung,0
ajjaheee komuknya comel cekali😭,0
makin gede makin aa banget mukanya,0
berdoa tapi tidur.. bisa jawab 1 kalimat 2 makna.. cerdas pung kamu,0
kenapa kalo diluar negeri pake baju zumba sih pungggg,0
gemes mes cipung,0
baru x ini gemes sama anak artis🤗,0
lucu ya .,0
cipung udah ganteng pintr cerdas lgi .mkin gemeeess bnget dah aku ama cipung.🥰🥰👍👍❤❤❤,0
aja pintar berdoa mau jd ustad y,0
gemes,0
gemessssss,0
GEMES BGT DAH,0
adek gemezzz😂,0
cipung pake baju zumba mulu😭😭 kalo ga putih ya item😭,0
gemesss😘,0
cipung gemeyy bgtttt 😭😭,0
gemezzzz ajggggg😭😭😭😭🤣,0
masyaAllah gemes banget sih ja,0
gemes bngttt nihh bocill,0
ih cipung gemessss banget sehat2 ya nak,0
masa Allah lucu bnget sich bikin gemees,0
lucu x pakai manset 🤣🤣😭😭,0
masya allah goanteng dan gemesin banget sih. 😘🤩🤩,0
emang boleeehh se gemezzz ini ☺☺,0
cipung gemes bgt,0
gemey❤️,0
gemeees bngt cipung 🥰,0
GEMESSSS BGTTT😭😭😭😭😭,0
haduhhhhhh cipung gemes banget 🥰🥰🥰,0
cilung lihat cilung😭 @ahmadwidani,0
De gemesss🔥🔥🔥,0
gemesss bgtttt,0
meuni kasep iihh gemess deh,0
gemes banget ya Allah semoga anak ku kayak rayanza🥰,0
cipung bulat sempurna🤏🏻😭,0
gemes sekali 🥰🥰🥰🥰🥰🥰,0
gemes bgttt 😫,0
cipungg,0
gemes,0
geeemmeesshh bgt liat nih bayiii.. bdnnyaa sekkeell gemoy...wanginyaa pstii wanggii bgt,0
aduk lucu banget bikin gemes deh 🥰🥰🥰💯❤️,0
gemezz 🤣😂❤️,0
anak ganteng gemes meni gemoyyyyy,0
gemes ya allah😭,0
Anjir cipung udah bisa ngomong,0
YA ALLAHH GEMESSS,0
gemesnya 😍,0
gemessss 😍,0
si paling baju zumba🤣gemeezzsss,0
gemesss bgt ya allah😭😭,0
Gemes bgt bajunyaaaaa,0
"cipu g "" km tuh lucu banget sih dek gemesin🥰😂",0
yaAllah ajaaaa,0
lucu banget nak,0
gemesh🥰,0
MEREM MEREMNYAAA SAMA BAJUNYAAA AAA GEMESNYAAAA PUNG😭😭😭,0
gemoy sekali ajja 😭 gakuat,0
apa aku aja ya yang ngira wajah rayanza kayak udah remaja🥺😅,0
rayanjul pake baju ini gemoyy e gangatasi,0
ajaaa kenapa pake mansett 😭,0
gemeshh nya😭,0
lucu banget ya Allah,0
gemes banget deh cipung,0
masyaallah si comeng ini 🥰 gumusshhh,0
ni anak pintar dri abg dan bapaknya 😅,0
bening bgt ni bocil gemoyyy😭💗,0
ganteng bet😭,0
😂lucu Rayanza🥰🥰,0
Baju mu itu lho pungg😭😭,0
PUNG KOK CEPET BGT GEDENYA😭😭😭😭,0
pke manset pung cu bgt 😭,0
anak pintrer,0
lucu amayyy jadi pengen punya ajjaa 😍,0
ya mirip raffi ahmad to,0
sampai ketemu lagi,0
gemoy banget ajaa😭,0
Gemes bangettt lihat dedek cipung ♥️♥️,0
bocil gemoy 🥰🥰,0
YAALLAH LUCUNYAAA AJJAAAA,0
"knp sih dia kocak bgt, beda sama aa rafathar ya cool",0
pung ko kamu udh gede sih😭,0
cipung bentuk nya ngpa lucu amatsi😭😫🤏,0
Ganteng banget,0
Ya Allah lutu nya☺️☺️☺️Aja,0
ajjaaaaa😍,0
😂bayik kmu kok bs lawak sih,0
Cipung 😍😍😍,0
ya Allah lucu ganteng,0
cipung pake manset...😂😂😂😂,0
Yaallah🥰🥰,0
Ajahee gemoyyy🥰🥰🥰,0
makin kesini kok makin mirip sama suami nya syahnaz😭,0
tercipung cipung🥰🥰,0
apaaan si lucu bgt😭🙏🏻,0
gantengnya dia,0
knp si km pink bgt😭❤️,0
semoga jadi anak yg sholeh yg dermawan pada fakir miskin,0
menggemaskan sekali anak yg satu in😁😁😁🤣🤣🤣🤣🤣🤩🤩🤩🤩,0
cipung makin ganteng makin pinter,0
aza capek kali ya..mau tidurrr,0
Ya Allah Adeekkkk😭😂🥰🥰,0
exfresi ajja sangaaaaat lucu ....pinter ..ya Allah ingin. punya baby pinter Kya rayanja ......,0
masya allah gemes amat 😁🤭😱😱❤️❤️❤️🤗🤗,0
woi gemol bgt,0
"eh eh apasih, kok lucu amay😭😭",0
gemoy sih,0
GEMESHHYYYY MWAHHHH ❤️❤️❤️,0
lucu bggt,0
bajunya😭😭@RaffiNagita1717,0
wkwk 😂,0
gemoy bgt ci😭,0
lucu amay buseng 🥺,0
cipunggg banyak² in video pake baju zumba ya pung,0
LUCUUUU BGTTTT😭😭😭,0
"itu pakaian namanya Long John ya ges, dalamnya bikin hangat badan kalau diluar cuaca lg dingin.",0
Sehat terus rayyanzaa benarbenar hiburan kita semua kamu dek 😍🥰🤏🏻🤏🏻,0
lucuu banget bayikkkkkkkkk😖,0
cipung ganteng bgt🥰,0
Yaallah gakuat gemeshhh😭😭,0
Wkwkwkw gemesss bgtttt,0
ko udah gede aja si aja😭,0
"Masha allah,nanti kalo punya anak pengen kayak cipung",0
berkelas dan ganteng pintar tidak nora,0
lucunya,0
Cipung sudah bisa ngomong trnyta,0
pake manset😭😭,0
boleh di uwel2 ngak sih😅,0
Tinggal pake outer pung pasti lucu🤗🙏🏻,0
minta mobil ama papa api pung,0
peruttt loooo punngggggg😭😭😭😭,0
Lucu 🤣,0
aja jangan cepet gede😭,0
Cipung bikin gummes,0
Lucu amat si ipungggg mashallah 😍😭,0
"Maa Syaa Allah, responnya klo ngobrol dan ditanya apapun selalu tepat dan baik, pintar juga jenius bgt nih Ade Ajja 👍🏻👍🏻🤗🤗🤗🤗😘",0
Lengkarnasi olga sih ini 😅,0
berdoa tpi tdur bgtuu modely y😁,0
gemes bgt si pung😫,0
LUCU BGT,0
Gemesss😭,0
cipuuuung tamuuyuucuuu meremmelek,0
bajunya kyk baju yoga pung 😂,0
"Bisa berdoa, tp tidur",0
cakep gemes biasa,0
cipung kok udh gede😭,0
lucunyaa,0
Cipung dngn baju zumba nya🤣 @Fikri Azzami,0
pinter banget ya ngobrol sama aja bener bener nyambung drpda sama mantanku,0
Ya Allah lucu banget 😭😭,0
maasyaallah ganteng bgt ajaaaaa🥰🥰🥰 gemessssh,0
kenapa di liat-liat mirip Sus rinii yaaaa,0
@Martings BAJU KEMBARAN SM CIPUNG🥰,0
kenapa gemes sekali😍😭,0
Bajunya cuping seksi bgt bjir😝,0
ajjahe kamu tuuuu knapa siii gemesssssss🥰,0
lucu ya,0
cipung kok km gini skarang😭,0
dia gemoy bngt😃😃😃,0
zumba zumbaa,0
@Widylanova shop:pade norak bnget yg bilang baju zumba....😂😂😂 itu baju longjohn buat dalaman nahan dingin.....😅😍😂🥰✌,0
gemas banget bayikk,0
Ginuk2 pake baju zumba😭,0
"ga slh yah kamera milih cipung bwt bntng iklan Krn lucu ma gemesin,SM ky ukasya juga lucu.trs putih jg",0
bocil sotoy bgt gemes😭,0
cull amatt siyyy,0
hmmm lucu bgt gemessss amat,0
kok gw liat daging aja tu kyk kenyel kenyel gitu ya gemesss😭😭,0
Gemes bgt ni bayi super😭,0
Ade lucu bgt😖,0
pasti wangi bgttt😭🥰,0
"Itu bukan baju zumbu, itu nmnya Baselayer, biasanya ada Termalnya dilapisan dlmnya",0
Masya Alloh🥰 gemuss,0
umur baru dua liter udah pinter,0
dedek cipung ckp ya lucu Lo lebih caket dr kaka nya rafatar ya 😁,0
gemes banget bajunya Masha Allah 😂,0
"anak ganteng ,,lucu bgt",0
Itu mulut sma lipetan leher nya pasti wangi bgtt😭,0
ganteng bgt ya layanja😂😂😭,0
Bener2 Ganteng bngt,0
mashaallah gemess🥰,0
kulit2 sultan ga bisa d bohingin ya kmu ajaaaheeeeeee🤣,0
Lucu bgt pung bentukannya 😭,0
lutunaa jaa,0
gembul bangetttt pung 😭,0
aza ganteng gemoy ❤️❤️❤️,0
kobisa bayi seekspresif ini ajaaaa ajaa😩,0
udah pake manset lagi 😭,0
JAAAA LU GEMES BGT SII,0
"lucu banget sih de"" cipungn 🥰🥰🥰",0
rayanza klok di rumah nya lancar bicara nya klok di undang ke acara indosiar itu gak mau ngapangapain,0
Ahhhhhhhh lucuuuuuuu pung🥰,0
"hidup effort less harta udah banyak, popularitas udah ada😌",1
gemeeess banget jaaa😍😍❤️❤️,0
cuuu amay,0
gembullll,0
gnteng bgt sih gemess,0
nggak pernah main sama teman2 nya kah?,0
@Fanny h kuigut,0
sexy amattt bayikk😭🤣,0
sexy amattt bayikk😭🤣,0
gmeeeesshhh ih,0
Keliatan banget Aja gk punya beban hidup,0
Gemess,0
bayi Iki gemoy banget putih😁,0
anake nagita cakep cakrp,0
gemes bgt klo dia pake baju itu😂,0
perutnyaa gemess amayyyy😭,0
bentukannya lucu bangett😭,0
Cubangeeettttt adeeee🤏🏻🤏🏻🤏🏻🤏🏻🤏🏻,0
anak gue udh bahenol ajaaaa😍,0
gemey amayyy💘,0
pake manset😂,0
gemeeeeees🥰,0
gemesin ih.. 😂,0
bajunya gemes amat kek mau balett🤣,0
semoga rayanza selalu diberikan kesehatan kekuatan Allah SWT aamiin,0
gemoyy bgt cipung,0
tanganya gemesh,0
cipung kalo pake baju ini sama baju yg putihhh ituu vibes nyaaa bener bener kek bapak bapak pungg lucu bgt,0
perutmu gemes banget aja😭🤏🏻,0
dia lucu bgttt😭,0
bayi kog bisa niruin gaya yg tua😂,0
wiihh ganteng nya uiiiii😂,0
manisssss bangettt,0
"kalau di indo pake lekton, kalau di luar indo pakai manset 😭🤣",0
cipung lucu bgt ..gemes jadinya,0
cipung gantenya ga ketulungan🤣🤣,0
ah lucuuuuuuuuuk🥰,0
"Baju zumbah, perut mendul = lucu bettt 😂",0
cipung ganteng,0
MasyaAllah,0
"ga ada yg gemes apa, tolong toelkan pipinya😂",0
Cipung kmu tuh smpe kebawa mimpi akuu😭🤏,0
merem nya itu loh gemes bgt 😭🤌🤌🤌🤌,0
@fourandeight18 bayi bayi ini kenapa bisa selucu ini e? 😩,0
mirip mayor teddy😭🤣,0
Kak @bidi dan item mosting ulang.semoga cepat dapat momongan kakak🫶🫶,0
bening bener😭,0
Lucu bgt si 🥰,0
ganteng bgt aja 🥰,0
"Bayi suka banget cosplay org gede, Gemasss😊🤭",0
cuuuu amayyy si adekkk💗,0
"dah pinter, ganteng pula",0
gua liat cipung kek mayor teddy yaallah gemes amattt si @ulfah333shop 😭😭,0
lg mood nonton abe cekut oke nanti yg cipung lg,0
cipung lucu kalo pake baju senam,0
Dasar lu anak lucu!😤🙏🏻,0
Cipung ya allahhhh🥰,0
putih cakep ganteng kasep lucu🥰,0
manset nya beli dimana ja 😭,0
manset item andalan ifung klo ke luar negeri 😭😂,0
gemesh🥰🥰🥰,0
bening bet,0
gemoy bgttt tolong badan nya,0
CIPUNG PAKE MANSET😭💗,0
@wihhhmantep gemeshhhh beeetttttt:(,0
apasi zaaaa😭😭,0
aduhhhh bayikkkkk,0
cipunggg plss km uda gde azaaaa😭,0
Pesona pria mentah 🗿,0
gnteng bgt anak org😭,0
lucu😭,0
Canytik,0
Cipung baju gitu mirip kakek di navilera😭😭,0
apasi zaaa lucuk bett,0
pungpung lucu🤣🤣🥰🥰🥰,0
Maapin Mimin ya,0
hbs zumba darimana ja?:(,0
"Kenapa dy kl di ajak ngobrol bisa banget jawab nyambung sih,",0
Kulit cipung glowing bgt😩,0
Cipung kulit nya keliatan kulit kulit orang kaya bening banget bersih 😄,0
cilung gemes bngt 🥰,0
Semoqq banget pungg😭😭🤏🏻,0
kamu ganteng pinter lagi gemeees,0
ajja idung nya cutbray.. lutcchuuu,0
ajaa gemesssin bgt siiii,0
om mufli : cukupp roasting gue ya punggg,0
bayi kok ngeroasting😭,0
gemaaaaash nyaaa 🤏,0
Brdoa ko merem melek jja..🤣🤣,0
kamu kenapa gemezzz banget si puunggg,0
fuunkk udah tau belum rasa nya di tampol gimana???,1
gemess bangett,0
WOII KEK ORGGEDE AJA???!!!🥺,0
"pungggg aku habis getring pungg, 3 hari gak pegang hp sama sekali. buka tiktok ketemu kamu udah segede ituu😭😭😭😭",0
ipung lo ke luar baju nya tipis2 mungkin biar muat banyak di koper kali ya,0
arek kok lucune ngono rek,0
aja ngomong apasi ga jelas plis,0
Gemec terus bocil,0
gemesss banget sih pung,0
yaallah bentuknya lucu bgt,0
ya Alloh gemesnya aaj,0
duh tangan nya gemoyy amat jaa🤏🤏,0
jiwa lawak sejak balita 😭🤣,0
sotauuuan,1
Masa Allahdik Rayanza pintern banget,0
lucu banget puungg😭,0
bening banget lu pungggg,0
gemeyy anett pelutnyaa🥺🤏🏻,0
baju lu woi pung😭,0
"jari tangannya aja gemessin . MasyaAllah, sehat"" bayi penghibur",0
bening amat😭,0
"ini anak makin gede, makin lucuu aja😅",0
cipung bahenol😭😭😭😭,0
gemes banget sih bapak bapak zumbaa😭😭🤸🏼‍♀️🤸🏼‍♀️🤍,0
